Price	Product_descriptions
560.56	Lenovo ThinkStation P348 TOWER WORKSTATION Core™ i7-11700 1TB SSD 32GB DVD-RW WIN10 Pro NVIDIA® T1000 4096MB BLACK Keyboard Mouse
602.16	Lenovo 5 15IAL7 Core™ i7-1255U 512GB SSD 16GB 15.6" (1920x1080) TOUCHSCREEN WIN11 NVIDIA® MX550 2048MB STORM GRAY Backlit Keyboard FP Reader
123.76	Lenovo ThinkCentre M70q Tiny Pentium® Gold G6400T 500GB 4GB WIN11 BLACK Keyboard Mouse
518.96	Lenovo ThinkPad T15 Gen 2 Core™ i5-1145G7 512GB SSD 16GB 15.6" (1920x1080) WIN10 Pro BLACK Backlit Keyboard FP Reader FRENCH
581.36	Lenovo ThinkPad T15 Gen 2 Core™ i5-1145G7 512GB SSD 16GB 15.6" (1920x1080) WIN10 Pro BLACK Backlit Keyboard FP Reader
976.56	Lenovo ThinkPad P1 Gen 4 MOBILE WORKSTATION Core™ i7-11850H 1TB SSD 32GB 16" (2560x1600) WIN11 Pro NVIDIA® RTX A2000 4096MB BLACK Backlit Keyboard
997.36	Lenovo ThinkPad Z16 Gen 1 AMD Ryzen™ 7 PRO 6850H 512GB SSD 16GB 16" (1920x1200) TOUCHSCREEN WIN11 Pro AMD Radeon™ RX 6500M 4096MB ARCTIC GRAY Backlit Keyboard FP Reader
1184.56	Lenovo ThinkPad P16 Gen 1 MOBILE WORKSTATION Core™ i7-12800HX 512GB SSD 16GB 16" (2560x1600) WIN10 Pro NVIDIA® RTX A1000 4096MB STORM GRAY Backlit Keyboard FP Reader
1288.56	Lenovo ThinkPad P1 Gen 5 MOBILE WORKSTATION Core™ i7-12700H 1TB SSD 32GB 16" (1920x1200) WIN11 Pro NVIDIA® A2000 8192MB BLACK Backlit Keyboard FP Reader
2130.96	Lenovo ThinkPad P1 Gen 5 MOBILE WORKSTATION Core™ i9-12900H 1TB SSD 32GB 16" (2560x1600) 165Hz WIN11 Pro NVIDIA® RTX 3080Ti 16384MB BLACK Backlit Keyboard FP Reader
1319.76	Lenovo ThinkPad P16 Gen 1 MOBILE WORKSTATION Core™ i7-12800HX 1TB SSD 32GB 16" (1920x1200) WIN11 Pro NVIDIA® RTX A1000 4096MB STORM GRAY Backlit Keyboard FP Reader
841.36	Lenovo ThinkPad P15 Gen 2 MOBILE WORKSTATION Core™ i7-11800H 512GB SSD 16GB 15.6" (1920x1080) WIN10 Pro NVIDIA® T1200 4096MB BLACK Backlit Keyboard FP Reader NEW OPEN BOX
955.76	Lenovo ThinkPad P15 Gen 2 MOBILE WORKSTATION Core™ i7-11850H 2TB SSD 16GB 15.6" (1920X1080) WIN10 Pro NVIDIA® T1200 4096MB BLACK Backlit Keyboard FP Reader SPANISH NEW OPEN BOX
1111.76	Lenovo ThinkPad P16s Gen 1 MOBILE WORKSTATION Core™ i7-1260P 1TB SSD 32GB 16" (2560x1600) WIN11 Pro NVIDIA® Quadro T550 4096MB BLACK NEW OPEN BOX
1267.76	Lenovo ThinkPad P16 Gen 1 MOBILE WORKSTATION Core™ i7-12800HX 512GB SSD 16GB 16" (3840x2400) WIN11 Pro NVIDIA® RTX A1000 4096MB STORM GRAY Backlit Keyboard FP Reader NEW OPEN BOX
2338.96	Lenovo ThinkPad X1 EXTREME Gen 5 Core™ i9-12900H 2TB SSD 32GB 16" (3840x2400) TOUCHSCREEN WIN11 Pro NVIDIA® RTX 3080Ti 16384MB BLACK CARBON FIBER WOVEN Backlit Keyboard FP Reader NEW OPEN BOX
456.56	Lenovo ThinkBook 14 Gen 4 IAP Core™ i5-1235U 512GB SSD 8GB 14" (1920x1080) TOUCHSCREEN WIN 11 Pro MINERAL GRAY Backlit Keyboard FP Reader NEW OPEN BOX
373.36	Lenovo ThinkCentre M70q Tiny Gen 2 Core™ i5-11400T 256GB SSD 8GB WIN10 Pro Keyboard Mouse BLACK NEW OPEN BOX
602.16	Lenovo ThinkPad X1 CARBON Gen 9 Core™ i5-1135G7 256GB SSD 8GB 14" (1920x1200) WIN11 Pro BLACK Backlit Keyboard FP Reader NEW OPEN BOX
560.56	Lenovo ThinkBook 13s Gen 4 ARB AMD Ryzen™ 7 6800U 512GB SSD 16GB 13.3" (1920x1200) WIN11 Pro ARCTIC GRAY Backlit Keyboard FP Reader NEW OPEN BOX
737.36	Lenovo ThinkPad Z13 Gen 1 AMD Ryzen™ 5 PRO 6650U 512GB SSD 16GB 13.3" (1920x1200) WIN11 Pro ARCTIC GRAY Backlit Keyboard FP Reader NEW OPEN BOX
1267.76	Lenovo ThinkPad P1 Gen 5 MOBILE WORKSTATION Core™ i7-12700H 1TB SSD 32GB 16" (1920x1200) WIN11 Pro NVIDIA® A2000 8192MB BLACK Backlit Keyboard FP Reader NEW OPEN BOX
1122.16	Lenovo LEGION 7 SLIM 16ARHA7 GAMING AMD Ryzen™ 7 6800H 1TB SSD 16GB 16" (2560x1600) 165Hz WIN11 AMD RX 6800S 8192MB ONYX GRAY Backlit Keyboard FP Reader NEW OPEN BOX
508.56	Lenovo LEGION T5 26AMR5 GAMING AMD Ryzen™ 5 5600G 1TB+512GB SSD 8GB WIN11 Radeon RX6500 XT 4096MB Keyboard Mouse BLACK NEW OPEN BOX
508.56	Lenovo 5 27IOB6 ALL-IN-ONE Core™ i5-10400T 1TB+256GB SSD 8GB 27" (2560x1440) TOUCHSCREEN WIN11 STORMY GRAY Wireless Keyboard & Mouse NEW OPEN BOX
976.56	Lenovo ThinkPad P16s Gen 1 MOBILE WORKSTATION Core™ i7-1260P 512GB SSD 16GB 16" (1920x1200) WIN11 Pro NVIDIA® Quadro T550 4096MB BLACK Backlit Keyboard FP Reader
685.36	Lenovo Slim 7 16IAH7 Core™ i7-12700H 1TB SSD 32GB 16" (2560x1600) 120Hz TOUCHSCREEN WIN11 Arc™ A370M 4096MB STORM GRAY Backlit Keyboard
321.36	Lenovo ThinkSmart Hub Gen 2 ALL-IN-ONE for VIDEO CONFERENCING Core™ i5-8365U 128GB SSD 8GB 10.1" (1920x1200) TOUCHCREEN WIN10 IoT BLACK NEW OPEN BOX
290.16	Lenovo ThinkCentre M75s SFF AMD Ryzen™ 7 PRO 4750G 256GB SSD 8GB DVD-RW WIN10 Pro Keyboard Mouse BLACK FRENCH USED OPEN BOX
570.96	Lenovo ThinkCentre M90t Gen 2 SFF Core™ i7-12700 512GB SSD 16GB WIN11 Pro Keyboard Mouse BLACK NEW OPEN BOX
466.96	Lenovo ThinkStation P350 SFF WORKSTATION Core™ i7-11700 512GB SSD 16GB WIN10 Pro Keyboard Mouse BLACK USED OPEN BOX
591.76	Lenovo ThinkStation P350 SFF WORKSTATION Core™ i7-11700 512GB SSD 16GB WIN10 Pro NVIDIA® Quadro T1000 4096MB Keyboard Mouse BLACK NEW OPEN BOX
92.56	Lenovo Duet 3 10IGL5 Celeron® Dual-Core N4020 64GB eMMC 4GB 10.3" WUXGA (1920x1200) TOUCHSCREEN WIN11 S GRAPHITE GRAY w/ Detachable Keyboard
269.36	Lenovo ThinkPad L14 Gen 2 AMD Ryzen™ 3 PRO 5450U 256GB SSD 4GB 14" (1920x1080) WIN10 BLACK
342.16	Lenovo FLEX 5 14IAU7 2-IN-1 Core™ i5-1235U 512GB SSD 8GB 14" (1920x1200) TOUCHSCREEN WIN11 STORM GRAY Backlit Keyboard FP Reader
747.76	Lenovo ThinkPad P15s Gen 2 MOBILE WORKSTATION Core™ i7-1185G7 512GB SSD 16GB 15.6" (1920x1080) WIN10 Pro NVIDIA® Quadro T500 4096MB BLACK Backlit Keyboard FP Reader
238.16	Lenovo ThinkPad X1 CARBON Core™ i5-8250U 256GB SSD 8GB 14" (1920x1080) WIN10 Pro BLACK Backlit Keyboard FP Reader FRENCH
310.96	Lenovo ThinkBook 13s-IWL Core™ i7-8565U 512GB SSD 16GB 13.3" (1920x1080) WIN10 Pro MINERAL GRAY .6" thin, 2.9 lbs.
414.96	Lenovo ThinkPad L13 YOGA Gen 2 Core™ i5-1135G7 256GB SSD 8GB 13.3" (1920x1080) TOUCHSCREEN WIN10 Pro BLACK Backlit Keyboard FP Reader
498.16	Lenovo ThinkPad P14s Gen 2 MOBILE WORKSTATION Core™ i5-1135G7 512GB SSD 16GB 14" (1920x1080) TOUCHSCREEN WIN10 Pro BLACK NVIDIA® Quadro T500 4096MB Backlit Keyboard FP Reader
477.36	Lenovo ThinkPad X13 YOGA Gen 2 Core™ i5-1135G7 256GB SSD 8GB 13.3" (1920x1200) TOUCHSCREEN WIN10 Pro BLACK Backlit Keyboard FP Reader
1735.76	Lenovo ThinkPad P17 Gen 2 MOBILE WORKSTATION Xeon® W-11855M 1TB SSD 64GB RAM 17.3" (3840x2160) WIN10 Pro NVIDIA® RTX A4000 8192MB BLACK Backlit Keyboard FP Reader
841.36	Lenovo ThinkPad T14 Gen 2 Core™ i7-1260P 256GB SSD 16GB 14" (1920x1080) TOUCHSCREEN WIN11 THUNDER BLACK Backlit Keyboard FP Reader
622.96	Lenovo Thinkpad T15p ITH Gen 2 Core™ i5-11400H 512GB SSD 16GB 15.6" (3840x2160) WIN11 Pro NVIDIA® GTX 1650 4096MB MINERAL GRAY Backlit Keyboard FP Reader
997.36	Lenovo ThinkPad T16 Core™ i7-1270P 1TB SSD 32GB 16" (1920x1200) TOUCHSCREEN WIN11 Pro THUNDER BLACK Backlit Keyboard FP Reader
1392.56	Lenovo ThinkPad P1 Gen 5 MOBILE WORKSTATION Core™ i7-12700H 1TB SSD 32GB 16" (3840x2400) WIN11 Pro NVIDIA® A2000 8192MB BLACK CARBON FIBER WOVEN Backlit Keyboard FP Reader
1714.96	Lenovo LEGION 7 16IAX7 GAMING Core™ i7-12800HX 2TB SSD 32GB 16" (2560x1600) 165Hz WIN11 NVIDIA® RTX 3070Ti 8192MB STORM GRAY RGB Backlit Keyboard FP Reader
342.16	Lenovo ThinkCentre M70s SFF Core™ i5-10400 256GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
394.16	Lenovo ThinkCentre M70q Tiny Gen 2 Core™ i5-11400T 256GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
456.56	Lenovo ThinkCentre M70t Gen 3 Tower Core™ i5-12400 256GB SSD 16GB DVD-RW WIN10 Pro BLACK Keyboard Mouse
581.36	Lenovo ThinkStation P340 TOWER WORKSTATION Core™ i7-10700 1TB SSD 16GB WIN10 Pro NVIDIA® Quadro P2200 5120MB BLACK Keyboard Mouse
591.76	Lenovo LEGION T5 26IOB6 GAMING Core™ i5-11500 1TB+512GB SSD 16GB WIN11 NVIDIA® GTX1660 SUPER 6144MB BLACK Keyboard Mouse
238.16	Lenovo 5 14ACN6 Tower AMD Ryzen™ 5 5600G 512GB SSD 8GB WIN11 ABYSS MINERAL GRAY Keyboard Mouse
862.16	Lenovo 5 17IAB7 GAMING Core™ i7-12700 1TB+512GB SSD 16GB WIN11 NVIDIA® RTX 3060 12288MB RAVEN BLACK Keyboard Mouse
175.76	Lenovo 3 22IMB05 ALL-IN-ONE Pentium® Gold G6400T 1TB 4GB 21.5" (1920x1080) TOUCHSCREEN WIN10 BLACK Keyboard Mouse
622.96	Lenovo 5 27IMB05 ALL-IN-ONE Core™ i7-10700T 512GB SSD 16GB 27" (2560x1440) TOUCHSCREEN WIN11 Pro MINERAL GRAY Keyboard Mouse
622.96	Lenovo 3 24IAP7 ALL-IN-ONE Core™ i5-1240P 256GB SSD 16GB 23.8" (1920x1080) TOUCHSCREEN WIN11 BLACK Wireless Keyboard Mouse
342.16	Lenovo ThinkCentre M80t Tower Core™ i5-10500 256GB SSD 16GB DVD-RW WIN10 Pro BLACK Keyboard Mouse
196.56	Lenovo ThinkCentre M75q Gen 2 Tiny AMD Ryzen™ 3 Pro 5350GE 128GB SSD 8GB WIN10 Pro Keyboard Mouse BLACK
362.96	Lenovo ThinkStation P340 Tiny WORKSTATION Core™ i5-10500 512GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse FRENCH
466.96	Lenovo ThinkStation P340 Tiny WORKSTATION Core™ i7-10700T 512GB SSD 16GB WIN10 Pro Keyboard Mouse BLACK FRENCH
487.76	Lenovo ThinkStation P340 TOWER WORKSTATION Core™ i7-10700 1TB SSD 32GB DVD-RW WIN10 Pro Keyboard Mouse BLACK
2130.96	Lenovo ThinkStation P620+ TOWER WORKSTATION AMD Ryzen™ Threadripper™ PRO 5955WX 2TB SSD 64GB WIN11 Pro NVIDIA® RTX A4500 20480MB BLACK Keyboard Mouse
539.76	Lenovo ThinkStation P348 TOWER WORKSTATION Core™ i7-11700 512GB SSD 16GB WIN10 Pro NVIDIA® Quadro T600 4096MB BLACK Keyboard Mouse
1018.16	Lenovo ThinkStation P360 TOWER WORKSTATION Core™ i7-12700 1TB SSD 32GB WIN11 Pro NVIDIA® T1000 8192MB BLACK Keyboard Mouse
414.96	Lenovo 3 15IHU6 GAMING Core™ i5-11300H 512GB SSD 8GB 15.6" (1920x1080) WIN11 NVIDIA® GTX 1650 4096MB SHADOW BLACK Backlit Keyboard
882.96	Lenovo 5 17IAB7 GAMING Core™ i7-12700 1TB SSD 16GB WIN11 NVIDIA® RTX 3060 12288MB RAVEN BLACK Keyboard Mouse
383.76	Lenovo ThinkCentre M90q Tiny Core™ i5-10500 256GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
394.16	Lenovo ThinkCentre M90q Tiny Core™ i5-10500T 256GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
394.16	Lenovo ThinkCentre M80s SFF Core™ i7-10700 256GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
404.56	Lenovo ThinkCentre M70t Tower Core™ i7-10700 512GB SSD 16GB WIN10 Pro BLACK Keyboard Mouse
331.76	Lenovo ThinkCentre M70s SFF Core™ i5-10400 256GB SSD 8GB WIN10 Pro BLACK Keyboard Mouse
1402.96	Lenovo ThinkStation P520 TOWER WORKSTATION Xeon® W-2225 512GB SSD 16GB WIN10 Pro NVIDIA® RTX A4000 16384MB BLACK Keyboard Mouse
404.56	Lenovo ThinkStation P340 Tiny WORKSTATION Core™ i5-10500 1TB SSD 8GB WIN10 Pro BLACK Keyboard Mouse
425.36	Lenovo ThinkStation P340 Tiny WORKSTATION Core™ i5-10500T 256GB SSD 8GB WIN10 Pro NVIDIA® Quadro P620 2048MB BLACK Keyboard Mouse
373.36	Lenovo ThinkStation P340 SFF WORKSTATION Core™ i5-10500 256GB SSD 8GB WIN10 Pro BLACK Keyboard Mouse
279.76	Lenovo 3 17IAU7 Core™ i3-1215U 256GB SSD 8GB 17.3" (1600x900) WIN11 ARTIC GRAY FP Reader
238.16	Lenovo 5 14IOB6 TOWER Core™ i5-10400 512GB SSD 8GB DVD-RW WIN11 MINERAL GRAY Keyboard Mouse
1714.96	Lenovo LEGION T7 34IAZ7 GAMING Core™ i9-12900K 2TB SSD 64GB WIN11 NVIDIA® RTX 3080Ti 12440MB BLACK Keyboard Mouse
664.56	Lenovo 5 17IAB7 GAMING Core™ i5-12400 1TB+256GB SSD 16GB WIN11 NVIDIA® RTX 3060 12288MB RAVEN BLACK Keyboard Mouse
